spelling_map,spelling_crime
COLDSTREAM HOMESTEAD MONTEBELLO,COLDSTREAM HOMESTEAD
WASHINGTON VILLAGE/PIGTOWN,WASHINGTON VILLAGE
EAST BALTIMORE MIDWAY,EAST BALTIMORE MIDWA
ELLWOOD PARK/MONUMENT,ELLWOOD PARK/MONUMEN
GLENHAM-BELHAR,GLENHAM-BELFORD
PENROSE/FAYETTE STREET OUTREACH,PENROSE/FAYETTE ST OUTREACH
MILLHILL,MILL HILL
EDNOR GARDENS-LAKESIDE,EDNOR GARDENS-LAKESI
PENN-FALLSWAY,PEN-FALLSWAY
MADISON-EASTEND,MADISON EASTEND
COPPIN HEIGHTS/ASH-CO-EAST,COPPIN HEIGHTS/ASHBU
HANLON-LONGWOOD,HANLON/LONGWOOD
BUTCHER'S HILL,BUTCHERS HILL
MIDTOWN-EDMONDSON,MIDTOWN EDMONDSON
NORTHWEST COMMUNITY ACTION,NORTHWEST COMMUNITY
ROSEMONT HOMEOWNERS/TENANTS,ROSEMONT HOMEOWNERS
PIMLICO GOOD NEIGHBORS,PIMLICO GOOD NEIGHBO
FOUR BY FOUR,4X4
RIDGELY'S DELIGHT,RIDGELYS DELIGHT
MIDDLE BRANCH/REEDBIRD PARKS,MIDDLE BRANCH/REEBIRD PARKS
PANWAY/BRADDISH AVENUE,BRADDISH AVE./PANWAY
UNIVERSITY OF MARYLAND,UNIVERSITY OF MARYLA
SHARP-LEADENHALL,SHARP LEADENHALL
BOYD-BOOTH,BOOTH-BOYD
PLEASANT VIEW GARDENS,PLEASENT VIEW GARDENS
CONCERNED CITIZENS OF FOREST PARK,CONCERNED CITIZENS O
O'DONNELL HEIGHTS,ODONNELL HEIGHTS
WOODBOURNE-MCCABE,WOODBOURNE MCCABE
FAIRMONT,FAIRMOUNT
FAIRFIELD AREA,FAIRFIELD
STONEWOOD-PENTWOOD-WINSTON,STONEWOOD-PENTWOOD-W
MORGAN STATE UNIVERSITY,MORGAN STATE UNIVERS
LAKE EVESHAM,LAKE-EVESHAM
JOHNS HOPKINS HOMEWOOD,JOHN HOPKINS HOMEWOO
FOREST PARK GOLF COURSE,FOREST PARK/GOLF COU
MT PLEASANT PARK,MOUNT PLEASANT PARK
SANDTOWN-WINCHESTER,SANDTO
WOODMERE,WOODME
,BALTIMORE-LINWOOD
,HARFORD-ECHODALE-PER
,HUDSON-HIGHLANDTOWN
,DUNBAR
,FEDERAL HILL/MONTGOM
,HOLLINS PARK
,S.B.I.C.
,MEDFORD/BROENING MAN
,DORCHESTER/GRAN-BARR
,JOSEPH LEE
,ROSEMONT AVENUE
,WOODRING
,CLAREMONT-FREEDOM
,CHINQUAPIN PARK/BELV
,CHRISTOPHER
,WILSON HEIGHTS
,DRUID HILL PARK ASSO
,FORT HOLABIRD
,000
,116102
CARROLLTON RIDGE,CARROL
HOLLINS MARKET,HOLLIN
